Title,count
L6227_Tx rue Michelet Rueil > 31/8/2024,1
"Javel : Jeux de Paris 2024 - Station fermée, correspondances impossibles",1
Ligne T4 : Bondy <-> Gargan trafic interrompu,1
Bus TUVIM : Travaux - Arrêt(s) non desservi(s),2
Bus 253 : Travaux - Arrêt(s) non desservi(s),4
Bus 66 : Travaux - Arrêt(s) non desservi(s),1
⚠️Travaux - Ligne 6161 et 6162 - Du 13 Mai au 14 Juin 2024 du lundi au vendredi de 09h à 16h,1
Travaux Morsang-sur-Orge,1
Bus NEY-FLA : Travaux - Arrêt(s) non desservi(s),1
Bus 26 : Accident sur la voie publique - Arrêt(s) non desservi(s),10
"\"\"\"La Folie Rigault\"\" non desservi en direction de \"\"Gare de Courcelle - Lycée de la Vallée\"\" (du 27 mai au 18 août 2024)\"",1
Bus 170 : Travaux - Arrêt(s) non desservi(s),2
Perturbation - Lignes 22 et 27 - Lundi 3 juin au vendredi 14 juin 2024,1
Bus 195 : Travaux - Arrêt(s) non desservi(s),2
Ligne N: Paris Montp. - Plaisir Gr. du 01 au 05/07,4
Ligne R Interruption Paris - Montereau 26/01-5/07,145
Montmorency - Perturbation - L1514,1
"Trocadéro : Jeux de Paris 2024 - Station fermée, correspondances impossibles",1
Ligne J : Conflans - Pontoise du 21 mai au 07 juin,14
Réseau Saint-Quentin-en-Yvelines : A partir du vendredi 2 avril 2021,1
Ligne P : Meaux - La Ferté-Milon du 12 au 27/08,16
⚠️Perturbation – Ligne 405 et 302 – Du 3 au 14 juin 2024,1
Ville Haute période touristique,1
Bus 259 : Travaux - Arrêt(s) non desservi(s),2
Bus 69 : Préparation des Jeux de Paris 2024 - Arrêt(s) non desservi(s),1
Difficultés de circulation à Ris-Orangis,1
⚠️Déviation - Ligne 2123 - Du 25 Avril 2024 jusqu'à la fin des travaux,1
⚠️🚍Déviation - Ligne 19 - Du 27 mai au 11 juin 2024,1
MLV-L2223 travaux RCU direction G.Lagny-Thorigny,1
Bus 254 : Manifestation - Arrêt(s) non desservi(s),2
Bus 92 : Travaux - Arrêt(s) non desservi(s),1
Ligne E : Haussmann - Villiers du 1er au 5/07,5
BOISSY-SAINT-LEGER - Gare routière de Boissy,1
RER D : Paris Lyon - Villeneuve du 26/02 au 05/07,140
⚠️Perturbation – Ligne 404 et 453 – Du 3 juin 2024 jusqu’à la fin des travaux,1
Melun_Travaux rue Edouard Branly,1
Tramway T2 : Jeux de Paris 2024 - Arrêts non desservis,2
Bus 190 : Manifestation - Arrêt(s) non desservi(s),2
Bus 210 : Manifestation - Arrêt(s) non desservi(s),1
Ligne P : Paris Est - Provins du 1er/06 au 7/07,5
RESEAU SENART DEVIATION DU 03 AU 09 JUIN 2024,1
Ligne D : Evry Courc. non desservie,1
Bus N24 : Travaux - Arrêt(s) non desservi(s),1
RESEAU SENART DEV. DU 02 MAI 2024 A FIN MAI 2025,1
Bus 234 : Travaux - Arrêt(s) non desservi(s),2
PROLONGEMENT DES TRAVAUX A CREGY-LES-MEAUX,1
Ligne C:Austerlitz - Pont de Rungis 03/06 au 12/07,27
Bus 70 : Manifestation - Arrêt(s) non desservi(s),1
Arrêt provisoire Triangle de Gonesse,1
L6246 - du 4 mars 2024 au 31 mars 2027_Tx St Cloud,1
⚠🚍 Ligne 9 - du jeudi 2 mai au jeudi 6 juin 2024,1
Ligne E : Haussmann - Chelles-G. du 13/05 au 7/06,19
Ligne E : Haussmann - Villiers du 17 au 21/06,5
⚠️Travaux - Ligne 309 - Du 27 Mai au 28 Aout 2024,1
Bus 480 (SGO) - Gare d'Ablon-Sur-Seine - Nouvel emplacement,1
Pont Marie (Cité des Arts) : Jeux de Paris 2024 - Station fermée (sans correspondances),2
⚠️Déviation - Ligne 28B - Du 04 Mars au 10 Juillet 2024,1
Bus 191 : Travaux - Arrêt(s) non desservi(s),2
Bus 151 : Travaux - Arrêt(s) non desservi(s),1
Varenne : Jeux de Paris 2024 - Station fermée (sans correspondances),1
Ligne E : Haussmann - Villiers les 20 et 21/07,2
Travaux - Report Arrêt Val André - Ligne Express1,1
Bus 351 : Travaux - Arrêt(s) non desservi(s),1
Bus 212 : Travaux - Arrêt(s) non desservi(s),2
AFFECTATION DES QUAIS GARE LA FERTE SOUS JOUARRE,1
Ligne U : La Défense-La Verrière du 10/06 au 14/06,4
Ligne E : Haussmann - Chelles-Gournay 13 - 16/8,3
FONTENAISIEN - Travaux - Jean Monnet,1
Réseau Cergy Pontoise Confluence - Déviation ligne 17B,1
⚠️Déviation - Ligne 2127 - Du 25 Avril 2024 jusqu'à la fin des travaux,1
⚠️ 🚍#InfoTrafic - Ligne 6123 – du 22 mai au 30 juin 2024,1
Bus 337 : Manifestation - Arrêt(s) non desservi(s),2
Bus 289 : Marché/brocante - Arrêt(s) non desservi(s),2
Travaux Route de la Libération,1
Bus 390 : Travaux - Arrêt(s) non desservi(s),2
Terres d'Envol - Ligne 15 - Perturbation,1
Bus 24 : Travaux - Arrêt(s) non desservi(s),1
Bus 207 : Manifestation - Arrêt(s) non desservi(s),2
Travaux rue Valogne,1
BOISSY-SAINT-LEGER - Gare routière,1
Bus N53 : Travaux - Arrêt(s) non desservi(s),1
Bus 174 : Travaux - Arrêt(s) non desservi(s),3
Bus 58 : Manifestation - Arrêt(s) non desservi(s),1
SUCY-EN-BRIE -Travaux Rue Maurice Berteaux,1
MLV-L2291 travaux Annet du 25-05 au 06-07-24 (2/2),1
Ligne P : Paris Est - Meaux du 11/05 au 16/06,12
01/06/2024 -ANNULATION Piétonisation Coulommiers,1
Bus 29 : Travaux - Arrêt(s) non desservi(s),1
Bus 206 : Manifestation - Arrêt(s) non desservi(s),1
Bus 21 : Manifestation - Arrêt(s) non desservi(s),1
Travaux Gometz-la-Ville - Ligne 39-30D,1
Ligne P : Meaux - Paris Est le 15/08,1
Bus N44 : Travaux - Arrêt(s) non desservi(s),1
Perturbation sur la ligne 30-05 du mardi 2 avril au vendredi 28 juin 2024 de 08h00 à 17h00,1
Ligne E : Haussmann - Villiers-sur-Marne le 2/06,1
Express 47 - Information,1
Bus 325 : Travaux - Arrêt(s) non desservi(s),2
Bus 46 : Travaux - Arrêt(s) non desservi(s),2
Ligne E : Haussmann- Villiers/Tournan 29/06 - 7/07,4
Bus 290 : Travaux - Arrêt(s) non desservi(s),1
Bus 166 : Travaux - Arrêt(s) non desservi(s),1
Boissière : Jeux de Paris 2024 - Station fermée (sans correspondances),2
Bus 63 : Préparation des Jeux de Paris 2024 - Arrêt(s) non desservi(s),2
⚠️Déviation - Lignes E2 et N134 - Du 26 février 2024 jusqu’à la fin des travaux,1
Ligne E : Nanterre-La-Folie - Magenta perturbé,1
Bus N34 : Travaux - Arrêt(s) non desservi(s),8
Bus AUDONIE : Travaux - Arrêt(s) non desservi(s),2
SENART- Travaux LCPSF-L62A-L61A- Gare de Savigny,1
⚠️Déviation - Ligne 34B - Du 04 mars au 10 juillet 2024,1
Lignes 02B & 02E - Travaux Pont de Pommeuse,1
SENART- Travaux L50- Gare de Savigny,1
L6254 - 29 avril au 12 juillet 2024_Tx Beltrame,1
Ligne P : Paris Est - Meaux suppressions le 16/07,1
Bus 319 : Travaux - Arrêt(s) non desservi(s),1
Bus N15 : Travaux - Arrêt(s) non desservi(s),1
Bus 146 : Travaux - Arrêt(s) non desservi(s),22
⚠️Déviation - Lignes N134 et E2 - Du 02 avril au 1er février 2025,1
⚠️🚍Déviation - Ligne 5 - Du 13 mai au 21 juillet 2024,1
Ligne P : Paris Est - Meaux du 17/06 au 23/07,26
Bus 116 : Travaux - Arrêt(s) non desservi(s),2
Bus 167 : Travaux - Arrêt(s) non desservi(s),2
Campo-Formio : Jeux de Paris 2024 - Station fermée (sans correspondances),1
Ligne P : Paris Est - Meaux 29 et 30/06,2
Perturbations - Cult'Urbaines Montereau 1er et 2 Juin 2024,1
Bus 77 : Travaux - Arrêt(s) non desservi(s),2
Bus 105 : Travaux - Arrêt(s) non desservi(s),3
Bus 169 : Manifestation - Arrêt(s) non desservi(s),2
"⚠️Prolongation - Lignes 1, B, C, F, P et S2 - Du 08 Janvier au 05 Juillet 2024",1
L6281 - du 22 avril au 31 décembre 2024_Patte Oie,1
L6241 - du 22 avril au 14 juillet 2024_Tati_Clair,1
RESEAU SENART DEVIATION POUR LE 28 JUIN 2024,1
Bus 247 : Travaux - Arrêt(s) non desservi(s),2
Bus 40 : Manifestation - Arrêt(s) non desservi(s),1
"⚠️Déviation - Lignes 302, 303, 304, 312, 405- Du 1er Janvier 2024 au 31 Mars 2025",1
L6254_Tx de nuit du 3/6 au 7/6,1
Plan de Transport Adapté (PTA): Express 47,1
Bus 322 : Travaux - Arrêt(s) non desservi(s),2
Bus 350 : Manifestation - Arrêt(s) non desservi(s),1
