word,count
Week-end,2
85,2
16/07,2
52,2
05-07-24,2
187,2
195,2
février,2
47,2
!,2
110,2
"510,",2
Valmondois,2
vos,2
390,2
MLV-L32,2
320,2
jeudi,2
15/06,2
22-23,2
163,2
17h00,2
DEV.,2
N42,2
Transdev,2
Dupleix,2
453,2
"\"\"Gare",2
274,2
MLV-L2291,2
140,2
120,2
Dammarie-les-Lys,2
Dimanche,2
Septembre,2
reporté,2
TUVIM,2
77,2
Réfection,2
week-end,2
foulées,2
PORTE,2
Lycée,2
T'bus,2
mardi,2
L6281,2
annulés,2
3/6,2
Edouard,2
194,2
conducteur),2
Maurepas,2
fortement,2
102,2
21/09,2
R4,2
14/08,2
N134,2
167,2
Beltrame,2
Mantes-la-Jolie,2
TRAVAUX,2
Annet,2
06-07-24,2
190,2
176,2
secteur,2
N13,2
241,2
N11,2
"\"Réseau",2
Septeuil,2
9/06,2
380,2
N23,2
Août,2
CRETEIL,2
117,2
247,2
Kléber,2
482,2
Passy,2
Bir-Hakeim,2
394,2
modification,2
(intervention,2
06-11,2
montées,2
114,2
16h,2
R2N,2
Montmorency,2
PROLONGEMENT,2
évoluent,2
170,2
566,2
382,2
259,2
Nationale,2
L6202_Tx,2
réduite,2
T2,2
239,2
304,2
08/06,2
322,2
143,2
24,2
DEV,2
212,2
480,2
trafic,2
325,2
Saint,2
"Cloud\"\"",2
N01,2
56,2
Mitry-Claye,2
Arts),2
Magenta,2
420,2
Mantes/Gisors,2
Avenue,2
49,2
7/6,2
RCU,2
STBC,2
&,2
Pasteur,2
306,2
Marie,2
MLV-L2223,2
Chantiers_du,2
157,2
182,2
66,2
L6246-27/2,2
E2,2
11/06,2
23A,2
Saint-Rémy-l'Honoré,2
Arrêts,2
Achèroises,2
337,2
278,2
CEA,2
254,2
Branly,2
modifiés,2
301,2
N61,2
330,2
50,2
22/09,2
AUDONIE,2
H.,2
Évènement,2
Plan,2
(du,2
25-05,2
Prolongation,1
Retards,1
"6161,",1
Marais),1
Lys_Travaux,1
L6246,1
Licorne,1
deux,1
54,1
période,1
483,1
Brocante,1
lycée,1
317,1
LA,1
02/06/2024,1
Moins,1
388,1
ne,1
31/8/2024,1
MLV-L2221-L2244,1
Ouest,1
04/03,1
Folie,1
Dammaarie,1
9105,1
Boissy,1
(2/2),1
MLV-L2234,1
1er/06/2024-Travaux,1
351,1
31-05,1
SUPPRIME,1
(Le,1
Franklin,1
69,1
CIF,1
309,1
MLV-L2224,1
04/01/24),1
"2024)\"",1
JUILLET,1
Place,1
"F,",1
6/06,1
"\"\"Collège",1
"1,",1
suite,1
91.09,1
brocante,1
38.01,1
Courc.,1
sont,1
déviation,1
FERMETURE,1
"22,",1
Nudel,1
N123,1
NEY-FLA,1
MASCRÉE,1
8h,1
jusqu’au,1
"\"\"Paris",1
162,1
L17,1
Temple,1
139,1
Iéna,1
(1/2),1
"6160,6162,6181,6183,6184-",1
soirée,1
"\"\"Rue",1
Melun_Travaux,1
31/7/2024_Pasteur,1
MLV-L2220,1
3B,1
Bac,1
France,1
31C,1
AFFECTATION,1
39-30D,1
5105,1
Gargan,1
InfoTrafic,1
L50-,1
09hà,1
"Saint-Aubin\"\"",1
"6163,",1
6182,1
L6288_Déplacement,1
405-,1
MLV-L2262,1
report,1
Orly,1
171,1
inopinée,1
d'Ablon-Sur-Seine,1
quai,1
276,1
7/6/24_Val,1
jusqu',1
Vide-greniers,1
Lys,1
02/06/24),1
Mareuil,1
(depuis,1
Roosevelt,1
01-06-24,1
"(FI_2024_041)\"",1
6161,1
37C,1
(82),1
ralenti,1
réservation,1
MLV-L2284,1
Neuf,1
609,1
Actionnement,1
MLV-Desserte,1
Hôtel,1
96,1
17/04,1
L'Echat,1
L6209,1
Coupvray,1
610,1
Aéroport,1
Grenier,1
300,1
bus,1
B,1
N15,1
2123,1
"403,",1
L9110,1
"d’Orléans\"\"",1
suppression,1
toute,1
"sens.\"",1
(à,1
02E,1
Marceau,1
2),1
2024_Patte,1
VILLENEUVE,1
King,1
Colonel,1
CCEJR,1
D.,1
Bailly,1
seules,1
9108,1
Clemenceau,1
"37A,",1
T11,1
10/07/23),1
plus,1
"61,",1
Manifestations,1
Epinay-sur-Orge,1
166,1
29/06/24),1
Paysager,1
Intervals,1
GIBERT,1
27/5,1
Vilgénis',1
St,1
31A,1
"Rigault\"\"",1
18h,1
LIGNE,1
VOISINS,1
5102,1
QUAIS,1
Martin,1
Report,1
L'itinéraire,1
09,1
268,1
"desservis.\"",1
GARE,1
6181,1
autorisés,1
Bouloche,1
"302,",1
Express1,1
30-05,1
août,1
V,1
Hôpital,1
02/10/23,1
Octobre,1
QUINCY,1
Petit,1
89,1
2127,1
5151,1
02-06-2024,1
L6251,1
N44,1
290,1
620,1
37B,1
"80,",1
Nanteuil-lès-Meaux,1
BIEVRES,1
05/06,1
perturbé,1
13h40,1
🚍#InfoTrafic,1
3301,1
Nanterre-La-Folie,1
"402,",1
L6254,1
"\"\"\"Marie",1
Informations,1
voyageurs,1
TàD78,1
68.09,1
Centre,1
JOUARRE,1
6185,1
vers,1
Libération,1
2027_Tx,1
COMTE,1
perturbations,1
244,1
FIN,1
02/06/24,1
sera,1
Maurice,1
Bullion,1
CHARONN,1
Trocadéro,1
"303,",1
404,1
d'Emery,1
RD231,1
ZA,1
descentes,1
Solférino,1
"\"L4",1
22/06,1
Luther,1
Melun_travaux,1
Berteaux,1
⚠️,1
319,1
R117,1
91.05,1
A.,1
263,1
111,1
Gonesse,1
"Elancourt.\"",1
ORLYBUS,1
Oie,1
autorisées,1
545,1
Limay,1
4/6,1
d'Orly,1
24/07-11/08,1
95,1
Tuileries,1
public,1
Haute,1
N53,1
103,1
40,1
Grand,1
"2,",1
Montévrain,1
23A-,1
N24,1
"FI_2024_044\"",1
'Parc,1
270,1
Collège,1
d'alarme,1
15/06/24,1
CSS,1
6h00,1
Blanche,1
"9105,",1
Epône-M.,1
MLV-L2260,1
Vide,1
courses,1
7-,1
Campo-Formio,1
Boulevard,1
"71,",1
"Guyonnerie\"\"",1
Difficultés,1
Lundi,1
3/6/2024,1
Monnet,1
"9501,",1
MLV-L2220-2222,1
"\"\"Mantes-la-Ville\"\"",1
Rd146a3,1
Lagny-sur-Marne..,1
Alma,1
92,1
circulation,1
"Vallée\"\"",1
-Travaux,1
2176,1
6162,1
Voie,1
"l'Etape\"\"",1
281,1
58,1
31B,1
L6254_Tx,1
"6172,",1
Michelet,1
Austerlitz-Juvisy-dim,1
3/5,1
obligatoire,1
N62,1
fermé,1
touristique,1
350,1
213,1
2024_Tx,1
BOISSY,1
Sully,1
