Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags,LastUpdate
fb94c390-1fba-11ef-9544-0a58a9feac02,2024-06-01T04:00:00.000+02:00,2024-08-02T02:45:00.000+02:00,20240601T040221,TRAVAUX,BLOQUANTE,Bus 21 : Travaux - Arrêt(s) non desservi(s),"<p>L’arrêt Gare Saint-Lazare - Budapest de la ligne 21 n'est pas desservi en direction de Stade Charléty – Porte de Gentilly. Reprise estimée : vendredi 2 août 2024, à partir de 02h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-06-01T04:02:21.000+02:00
7686736c-1fc2-11ef-bc03-0a58a9feac02,2024-06-10T05:00:00.000+02:00,2024-09-09T03:45:00.000+02:00,20240601T045554,PERTURBATION,BLOQUANTE,Bus 30 : Préparation des Jeux de Paris 2024 - Arrêt(s) non desservi(s),"<p>L'arrêt Varsovie de la ligne 30 ne sera pas desservi en direction de Hôpital Européen G. Pompidou. Quand : à partir du lundi 10 juin 2024 à 05h00, jusqu'au lundi 9 septembre 2024 à 03h00. Raison : préparation des Jeux de Paris 2024.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-06-01T04:55:54.000+02:00
7c22a55c-1fc2-11ef-9544-0a58a9feac02,2024-06-10T05:00:00.000+02:00,2024-09-09T03:45:00.000+02:00,20240601T045603,PERTURBATION,BLOQUANTE,Bus 30 : Préparation des Jeux de Paris 2024 - Arrêt(s) non desservi(s),"<p>La ligne 30 sera déviée : les arrêts situés entre Kléber - Paul Valéry et Albert de Mun ne seront plus desservis en direction de Hôpital Européen G. Pompidou. Quand : à partir du lundi 10 juin 2024 à 05h00, jusqu'au lundi 9 septembre 2024 à 03h00. Raison : préparation des Jeux de Paris 2024.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-06-01T04:56:03.000+02:00
814b3878-1fc2-11ef-bc03-0a58a9feac02,2024-07-01T04:30:00.000+02:00,2024-08-31T03:45:00.000+02:00,20240601T045612,TRAVAUX,BLOQUANTE,Bus 105 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 105 sera déviée : les arrêts situés entre Jeanne d'Arc et Denis Papin ne seront plus desservis en direction de Mairie des Pavillons-sous-Bois. Quand : à partir du lundi 1 juillet 2024, jusqu'au samedi 31 août 2024. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-06-01T04:56:12.000+02:00
21f172f0-1fc4-11ef-9544-0a58a9feac02,2024-06-01T05:02:00.000+02:00,2025-01-01T03:18:00.000+01:00,20240601T050751,TRAVAUX,BLOQUANTE,Bus 322 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 322 est déviée : les arrêts situés entre Jura et Alexandre Dumas ne sont plus desservis en direction de Mairie de Montreuil. Reprise estimée : mercredi 1 janvier 2025, à partir de 02h33. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-06-01T05:07:51.000+02:00
b5d5c8c8-1fc8-11ef-9544-0a58a9feac02,2024-05-18T05:00:00.000+02:00,2024-07-20T04:45:00.000+02:00,20240601T054037,TRAVAUX,BLOQUANTE,Bus 176 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 176 est déviée : les arrêts situés entre Église de Colombes et Gare de la Garenne-Colombes ne sont plus desservis en direction de Pont de Neuilly. Reprise estimée : samedi 20 juillet 2024, à partir de 04h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-06-01T05:40:37.000+02:00
d114df34-1fc8-11ef-bc03-0a58a9feac02,2024-04-15T22:45:00.000+02:00,2024-10-15T06:45:00.000+02:00,20240601T054123,PERTURBATION,BLOQUANTE,Bus N13 : Piétonisation de voirie - Arrêt(s) non desservi(s),<p>La ligne N13 est déviée : les arrêts situés entre Pantin RER - Mairie et Porte de Pantin - Métro ne sont plus desservis en direction de Mairie d'Issy. Reprise estimée : mardi 15 octobre 2024 à 06h00. Raison : piétonisation de voirie.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,,2024-06-01T05:41:23.000+02:00
00051abe-1fda-11ef-98ab-0a58a9feac02,2024-05-30T17:55:00.000+02:00,2024-10-31T03:45:00.000+01:00,20240601T074423,PERTURBATION,BLOQUANTE,Bus 86 : Préparation des Jeux de Paris 2024 - Arrêt(s) non desservi(s),<p>La ligne 86 est déviée : les arrêts situés entre Champ de Mars et École Militaire ne sont plus desservis en direction de Demi-Lune – Parc Zoologique. Reprise estimée : jeudi 31 octobre 2024 à 03h00. Raison : préparation des Jeux de Paris 2024.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,,2024-06-01T07:44:23.000+02:00
84cbf296-1fe8-11ef-bc03-0a58a9feac02,2024-04-28T15:02:00.000+02:00,2024-07-29T04:15:00.000+02:00,20240601T092819,TRAVAUX,BLOQUANTE,Bus 303 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 303 est déviée : les arrêts situés entre Baudin et L'Étoile ne sont plus desservis en direction de Noisy-le-Grand – Mont d'Est <RER>. Reprise estimée : lundi 29 juillet 2024, à partir de 03h30. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-06-01T09:28:19.000+02:00
0fbffc1c-1fe9-11ef-98ab-0a58a9feac02,2024-05-30T17:00:00.000+02:00,2024-09-12T03:45:00.000+02:00,20240601T093212,PERTURBATION,BLOQUANTE,Bus 28 : Préparation des Jeux de Paris 2024 - Arrêt(s) non desservi(s),<p>La ligne 28 est déviée : les arrêts situés entre Rond-Point des Champs-Élysées - Roosevelt et Pont des Invalides - Place de Finlande ne sont plus desservis en direction de Gare Montparnasse. Reprise estimée : jeudi 12 septembre 2024 à 03h00. Raison : préparation des Jeux de Paris 2024.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,,2024-06-01T09:32:12.000+02:00
