Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags,LastUpdate
e36d2b4c-11c6-11ef-80ff-0a58a9feac02,2024-05-14T09:47:00.000+02:00,2024-08-11T02:45:00.000+02:00,20240514T095218,TRAVAUX,BLOQUANTE,Bus TIM : Travaux - Arrêt(s) non desservi(s),"<p>La ligne TIM est déviée : les arrêts situés entre Berthelot - Marcel Bec et Église de Meudon ne sont plus desservis en direction de Gare de Bellevue. Reprise estimée : dimanche 11 août 2024, à partir de 02h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-14T09:52:18.000+02:00
85ac5b4a-1234-11ef-a3a9-0a58a9feac02,2024-02-23T10:48:00.000+01:00,2024-07-01T03:45:00.000+02:00,20240514T225706,TRAVAUX,BLOQUANTE,Bus 302 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 302 est déviée : les arrêts situés entre La Plaine - Stade de France RER et Rue de l'Union ne sont plus desservis en direction de La Courneuve – 6 Routes. Reprise estimée : lundi 1 juillet 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-14T22:57:06.000+02:00
3d94bda8-1265-11ef-8da8-0a58a9feac02,2024-05-14T04:30:00.000+02:00,2024-11-21T02:45:00.000+01:00,20240515T044550,TRAVAUX,BLOQUANTE,Bus 395 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 395 est déviée : les arrêts situés entre Novéos et Pavé Blanc ne sont plus desservis en direction de Le Plessis-Robinson – Réaumur – Descartes. Reprise estimée : jeudi 21 novembre 2024, à partir de 02h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-15T04:45:50.000+02:00
1bcffd68-12a6-11ef-8da8-0a58a9feac02,2024-04-22T15:55:00.000+02:00,2025-01-01T04:15:00.000+01:00,20240515T123011,TRAVAUX,BLOQUANTE,Bus 322 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 322 est déviée : les arrêts situés entre Alexandre Dumas et Rue du Parc ne sont plus desservis en direction de Bobigny – Pablo Picasso. Reprise estimée : mercredi 1 janvier 2025, à partir de 03h30. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-15T12:30:11.000+02:00
9c174eba-12c2-11ef-bd6b-0a58a9feac02,2024-03-26T20:00:00.000+01:00,2024-07-01T03:45:00.000+02:00,20240515T155412,TRAVAUX,BLOQUANTE,Bus NAVETTE : Travaux - Arrêt(s) non desservi(s),"<p>La ligne NAVETTE est déviée : les arrêts situés entre Aimée Matterraz et Jean Zay ne sont plus desservis en direction de Les Alouettes. Reprise estimée : lundi 1 juillet 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-15T15:54:12.000+02:00
c8d1042c-1403-11ef-bc03-0a58a9feac02,2024-05-17T05:27:00.000+02:00,2024-07-16T03:45:00.000+02:00,20240517T061315,TRAVAUX,BLOQUANTE,Bus 110 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 110 est déviée : les arrêts situés entre Mairie de Villiers-sur-Marne et Les Marais ne sont plus desservis en direction de Joinville-le-Pont <RER>. Reprise estimée : mardi 16 juillet 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-17T06:13:15.000+02:00
8a85db38-1440-11ef-9544-0a58a9feac02,2024-05-17T05:15:00.000+02:00,2024-07-08T00:15:00.000+02:00,20240517T132810,TRAVAUX,BLOQUANTE,Bus TUVIM : Travaux - Arrêt(s) non desservi(s),"<p>La ligne TUVIM est déviée : les arrêts situés entre Jean-Jacques Rousseau et Roger Salengro ne sont plus desservis en direction de Circuit Île Saint-Germain. Reprise estimée : dimanche 7 juillet 2024, à partir de 23h30. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-17T13:28:10.000+02:00
612f8846-1441-11ef-98ab-0a58a9feac02,2024-03-08T10:12:00.000+01:00,2024-11-21T02:45:00.000+01:00,20240517T133410,TRAVAUX,BLOQUANTE,Bus 395 : Travaux - Arrêt(s) non desservi(s),"<p>L’arrêt Réaumur de la ligne 395 n'est pas desservi en direction de Antony <RER>. Reprise estimée : jeudi 21 novembre 2024, à partir de 02h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-17T13:34:10.000+02:00
666566f0-1441-11ef-bc03-0a58a9feac02,2024-03-20T05:51:00.000+01:00,2025-01-01T04:15:00.000+01:00,20240517T133419,TRAVAUX,BLOQUANTE,Bus 395 : Travaux - Arrêt(s) non desservi(s),"<p>L’arrêt Robinson RER de la ligne 395 n'est pas desservi en direction de Antony <RER>. Reprise estimée : mercredi 1 janvier 2025, à partir de 03h30. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-17T13:34:19.000+02:00
84755d88-1461-11ef-98ab-0a58a9feac02,2024-05-15T16:17:00.000+02:00,2024-07-01T03:45:00.000+02:00,20240517T172413,TRAVAUX,BLOQUANTE,Bus 24 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 24 est déviée : les arrêts situés entre Buffon - La Mosquée et Panthéon ne sont plus desservis en direction de Panthéon. Reprise estimée : lundi 1 juillet 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-17T17:24:13.000+02:00
