Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags
32b88158-1ff3-11ef-bc03-0a58a9feac02,20240531T053000,20240606T034500,20240601T104446,TRAVAUX,BLOQUANTE,Bus 46 : Travaux - Arrêt(s) non desservi(s),"<p>L’arrêt Canal Saint-Martin de la ligne 46 n'est pas desservi en direction de Château de Vincennes. Reprise estimée : jeudi 6 juin 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
c01f9ed2-1ff3-11ef-bc03-0a58a9feac02,20240516T200000,20240716T034500,20240601T104843,PERTURBATION,BLOQUANTE,Bus 86 : Manifestation - Arrêt(s) non desservi(s),<p>La ligne 86 est déviée : les arrêts situés entre Saint-Germain - Cardinal Lemoine et Bastille - Faubourg Saint-Antoine ne sont plus desservis en direction de Demi-Lune – Parc Zoologique. Reprise estimée : mardi 16 juillet 2024 à 03h00. Raison : manifestation.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,
cb8decf6-1ff3-11ef-bc03-0a58a9feac02,20240525T180000,20250101T034500,20240601T104902,TRAVAUX,BLOQUANTE,Bus 259 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 259 est déviée : les arrêts situés entre Nanterre - Préfecture RER et Préfecture des Hauts-de-Seine ne sont plus desservis en direction de Saint-Germain-en-Laye <RER>. Reprise estimée : mercredi 1 janvier 2025, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
f61f2ca0-1ff3-11ef-9544-0a58a9feac02,20240601T104700,20240601T204500,20240601T105013,PERTURBATION,BLOQUANTE,Bus 382 : Stationnement gênant - Arrêt(s) non desservi(s),<p>La ligne 382 est déviée : les arrêts situés entre Rue du Bas Marin et Jean Jaurès ne sont plus desservis en direction de Les Ardoines <RER>. Reprise estimée : 20h00. Raison : stationnement gênant.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,
fb403aa8-1ff3-11ef-98ab-0a58a9feac02,20240602T050000,20240602T211500,20240601T105022,PERTURBATION,BLOQUANTE,Bus 123 : Manifestation - Arrêt(s) non desservi(s),"<p>La ligne 123 sera déviée : les arrêts situés entre Les Moulineaux et Ferber - Gallieni ne seront plus desservis en direction de Mairie d’Issy. Quand : dimanche 2 juin 2024, de 05h00 à 20h30. Raison : manifestation.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
3f6489aa-1ff4-11ef-98ab-0a58a9feac02,20240601T104800,20240601T204500,20240601T105216,PERTURBATION,BLOQUANTE,Bus 382 : Stationnement gênant - Arrêt(s) non desservi(s),<p>La ligne 382 est déviée : les arrêts situés entre Jean Jaurès et Rue du Bas Marin ne sont plus desservis en direction de Gare de Thiais – Orly. Reprise estimée : 20h00. Raison : stationnement gênant.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240603T210000,20240604T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240604T210000,20240605T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240605T210000,20240606T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240606T210000,20240607T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240610T210000,20240611T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240611T210000,20240612T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240612T210000,20240613T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240613T210000,20240614T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240617T210000,20240618T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240618T210000,20240619T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240619T210000,20240620T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240620T210000,20240621T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240624T210000,20240625T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240625T210000,20240626T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ef1a6a44-1ff5-11ef-bc03-0a58a9feac02,20240626T210000,20240627T034500,20240601T110421,TRAVAUX,BLOQUANTE,Bus 64 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 64 sera déviée : les arrêts situés entre Porte des Lilas et Pelleport - Gambetta ne seront plus desservis en direction de Denfert-Rochereau. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 2 juillet 2024, les lundis, mardis, mercredis et jeudis de 21h00 à 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
