Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags
1efa2ba0-1f5b-11ef-98ab-0a58a9feac02,20240606T220000,20240607T051500,20240531T163609,TRAVAUX,BLOQUANTE,Bus 26 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 26 sera déviée : les arrêts situés entre Châteaudun - Lamartine et Gare Saint-Lazare ne seront plus desservis en direction de Gare Saint-Lazare. Quand : à partir du mardi 4 juin 2024, jusqu'au vendredi 7 juin 2024, les mardis, mercredis et jeudis de 22h00 à 04h30. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
1be53fa0-1f5f-11ef-bc03-0a58a9feac02,20240601T174500,20240602T000000,20240531T170442,PERTURBATION,BLOQUANTE,Bus 189 : Manifestation - Arrêt(s) non desservi(s),"<p>La ligne 189 sera déviée : les arrêts situés entre Clos Montholon et Plessis - Piquet ne seront plus desservis en direction de Clamart – Georges Pompidou. Quand : samedi 1 juin 2024, de 17h45 à 23h15. Raison : manifestation.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
21321f3c-1f5f-11ef-96a1-0a58a9feac02,20240607T120000,20240608T010000,20240531T170451,TRAVAUX,BLOQUANTE,Bus 189 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 189 sera déviée : les arrêts situés entre Porte de Saint-Cloud-Métro et Quai du Point du Jour ne seront plus desservis en direction de Clamart – Georges Pompidou. Quand : vendredi 7 juin 2024, de 12h00 à 00h15. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
6e8b181e-1f60-11ef-96a1-0a58a9feac02,20240803T044500,20240805T051500,20240531T171410,PERTURBATION,BLOQUANTE,Tramway T3A : Jeux de Paris 2024 - Trafic interrompu,"<p>Du 03/08 au 04/08, le trafic sera interrompu entre Porte de Vanves et Porte d'Orléans en raison des Jeux de Paris 2024.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",Actualité
751cb3ea-1f60-11ef-98ab-0a58a9feac02,20240803T044500,20240805T051500,20240531T171426,PERTURBATION,BLOQUANTE,Tramway T3B : Jeux de Paris 2024 - Trafic interrompu,"<p>Du 03/08 au 04/08, le trafic sera interrompu entre Porte des Lilas et Porte de la Villette en raison des Jeux de Paris 2024.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",Actualité
b6045aca-1f60-11ef-bc03-0a58a9feac02,20240601T140000,20240601T174500,20240531T171610,PERTURBATION,BLOQUANTE,Bus 117 : Manifestation - Arrêt(s) non desservi(s),"<p>La ligne 117 sera déviée : les arrêts situés entre Rhin et Danube et Sully ne seront plus desservis en direction de Créteil – Préfecture du Val-de-Marne. Quand : samedi 1 juin 2024, de 14h00 à 17h00. Raison : manifestation.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
ac36427c-1f62-11ef-bc03-0a58a9feac02,20240529T134000,20240727T041500,20240531T173012,TRAVAUX,BLOQUANTE,Bus 183 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 183 est déviée : les arrêts situés entre Cité Jardins et Gaston Viens ne sont plus desservis en direction de Marché International de Rungis. Reprise estimée : samedi 27 juillet 2024, à partir de 03h30. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
c0c36454-1f62-11ef-96a1-0a58a9feac02,20240603T140000,20240604T224500,20240531T173047,TRAVAUX,BLOQUANTE,Bus 183 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 183 sera déviée : les arrêts situés entre Général Leclerc et Crèche Jean Effel ne seront plus desservis en direction de Aéroport d’Orly 4. Quand : à partir du lundi 3 juin 2024, jusqu'au mardi 4 juin 2024. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
d2071a08-1f62-11ef-98ab-0a58a9feac02,20240718T044500,20240727T051500,20240531T173116,PERTURBATION,BLOQUANTE,Sully - Morland : Jeux de Paris 2024 - Station fermée (sans correspondances),"<p>Du 18/07 au 26/07, les accès à la station Sully - Morland seront fermés.<br>Raison : Jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",Actualité
d7f0bc6c-1f62-11ef-96a1-0a58a9feac02,20240718T044500,20240727T051500,20240531T173126,PERTURBATION,BLOQUANTE,Pont Neuf : Jeux de Paris 2024 - Station fermée (sans correspondances),"<p>Du 18/07 au 26/07, les accès à la station Pont Neuf seront fermés.<br>Raison : Jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",Actualité
de331688-1f62-11ef-98ab-0a58a9feac02,20240718T044500,20240727T051500,20240531T173136,PERTURBATION,BLOQUANTE,Pont Marie (Cité des Arts) : Jeux de Paris 2024 - Station fermée (sans correspondances),"<p>Du 18/07 au 26/07, les accès à la station Pont Marie (Cité des Arts) seront fermés.<br>Raison : Jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",Actualité
325d5c04-1f64-11ef-98ab-0a58a9feac02,20240603T210000,20240604T064500,20240531T174107,TRAVAUX,BLOQUANTE,Bus 148 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 148 sera déviée : les arrêts situés entre Maurice Thorez et Escadrille Normandie-Niémen - Roger Salengro-Tramway ne seront plus desservis en direction de Musée de l’Air et de l'Espace. Quand : à partir du lundi 3 juin 2024, jusqu'au samedi 22 juin 2024, les lundis, mardis, mercredis, jeudis, vendredis, samedis et dimanches de 21h00 à 06h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
325d5c04-1f64-11ef-98ab-0a58a9feac02,20240604T210000,20240605T064500,20240531T174107,TRAVAUX,BLOQUANTE,Bus 148 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 148 sera déviée : les arrêts situés entre Maurice Thorez et Escadrille Normandie-Niémen - Roger Salengro-Tramway ne seront plus desservis en direction de Musée de l’Air et de l'Espace. Quand : à partir du lundi 3 juin 2024, jusqu'au samedi 22 juin 2024, les lundis, mardis, mercredis, jeudis, vendredis, samedis et dimanches de 21h00 à 06h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
