Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags
ac551266-1c05-11ef-96a1-0a58a9feac02,20240711T223000,20240712T012000,20240527T104656,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Coulommiers 24/06 au 19/07,"<p>P&#233;riode : &#224; partir de 22h30<br><br>Dates : du lundi 24 juin au vendredi 19 juillet, sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Coulommiers.<br>Le dernier train PITU de Coulommiers vers Paris-Est part &#224; 21h38.<br>Le dernier train CITU de Paris-Est vers Coulommiers part &#224; 22h17.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br><br>Motif : travaux.<br></p>",Actualité
ac551266-1c05-11ef-96a1-0a58a9feac02,20240712T223000,20240713T012000,20240527T104656,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Coulommiers 24/06 au 19/07,"<p>P&#233;riode : &#224; partir de 22h30<br><br>Dates : du lundi 24 juin au vendredi 19 juillet, sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Coulommiers.<br>Le dernier train PITU de Coulommiers vers Paris-Est part &#224; 21h38.<br>Le dernier train CITU de Paris-Est vers Coulommiers part &#224; 22h17.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br><br>Motif : travaux.<br></p>",Actualité
ac551266-1c05-11ef-96a1-0a58a9feac02,20240715T223000,20240716T012000,20240527T104656,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Coulommiers 24/06 au 19/07,"<p>P&#233;riode : &#224; partir de 22h30<br><br>Dates : du lundi 24 juin au vendredi 19 juillet, sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Coulommiers.<br>Le dernier train PITU de Coulommiers vers Paris-Est part &#224; 21h38.<br>Le dernier train CITU de Paris-Est vers Coulommiers part &#224; 22h17.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br><br>Motif : travaux.<br></p>",Actualité
ac551266-1c05-11ef-96a1-0a58a9feac02,20240716T223000,20240717T012000,20240527T104656,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Coulommiers 24/06 au 19/07,"<p>P&#233;riode : &#224; partir de 22h30<br><br>Dates : du lundi 24 juin au vendredi 19 juillet, sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Coulommiers.<br>Le dernier train PITU de Coulommiers vers Paris-Est part &#224; 21h38.<br>Le dernier train CITU de Paris-Est vers Coulommiers part &#224; 22h17.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br><br>Motif : travaux.<br></p>",Actualité
ac551266-1c05-11ef-96a1-0a58a9feac02,20240717T223000,20240718T012000,20240527T104656,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Coulommiers 24/06 au 19/07,"<p>P&#233;riode : &#224; partir de 22h30<br><br>Dates : du lundi 24 juin au vendredi 19 juillet, sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Coulommiers.<br>Le dernier train PITU de Coulommiers vers Paris-Est part &#224; 21h38.<br>Le dernier train CITU de Paris-Est vers Coulommiers part &#224; 22h17.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br><br>Motif : travaux.<br></p>",Actualité
ac551266-1c05-11ef-96a1-0a58a9feac02,20240718T223000,20240719T012000,20240527T104656,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Coulommiers 24/06 au 19/07,"<p>P&#233;riode : &#224; partir de 22h30<br><br>Dates : du lundi 24 juin au vendredi 19 juillet, sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Coulommiers.<br>Le dernier train PITU de Coulommiers vers Paris-Est part &#224; 21h38.<br>Le dernier train CITU de Paris-Est vers Coulommiers part &#224; 22h17.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br><br>Motif : travaux.<br></p>",Actualité
ac551266-1c05-11ef-96a1-0a58a9feac02,20240719T223000,20240720T012000,20240527T104656,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Coulommiers 24/06 au 19/07,"<p>P&#233;riode : &#224; partir de 22h30<br><br>Dates : du lundi 24 juin au vendredi 19 juillet, sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Coulommiers.<br>Le dernier train PITU de Coulommiers vers Paris-Est part &#224; 21h38.<br>Le dernier train CITU de Paris-Est vers Coulommiers part &#224; 22h17.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br><br>Motif : travaux.<br></p>",Actualité
2d0ee63e-1c06-11ef-8504-0a58a9feac02,20240603T214000,20240604T010500,20240527T105032,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Provins du 3/06 au 19/07,"<p>P&#233;riode : &#224; partir de 21h45<br><br>Dates : du lundi 3 juin au vendredi 19 juillet, sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Provins.<br>Le dernier train PIBU de Provins vers Paris-Est part &#224; 20h46.<br>Le dernier train XIBU de Paris-Est vers Provins part &#224; 21h47.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.</p>",Actualité
2d0ee63e-1c06-11ef-8504-0a58a9feac02,20240604T214000,20240605T010500,20240527T105032,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Provins du 3/06 au 19/07,"<p>P&#233;riode : &#224; partir de 21h45<br><br>Dates : du lundi 3 juin au vendredi 19 juillet, sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Provins.<br>Le dernier train PIBU de Provins vers Paris-Est part &#224; 20h46.<br>Le dernier train XIBU de Paris-Est vers Provins part &#224; 21h47.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.</p>",Actualité
2d0ee63e-1c06-11ef-8504-0a58a9feac02,20240605T214000,20240606T010500,20240527T105032,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Provins du 3/06 au 19/07,"<p>P&#233;riode : &#224; partir de 21h45<br><br>Dates : du lundi 3 juin au vendredi 19 juillet, sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Provins.<br>Le dernier train PIBU de Provins vers Paris-Est part &#224; 20h46.<br>Le dernier train XIBU de Paris-Est vers Provins part &#224; 21h47.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.</p>",Actualité
