Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags
ff4cae04-1f73-11ef-96a1-0a58a9feac02,20240528T152200,20240607T174500,20240531T193413,TRAVAUX,BLOQUANTE,Bus 27 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 27 est déviée : les arrêts situés entre Banquier et Les Écoles ne sont plus desservis en direction de Gare Saint-Lazare. Reprise estimée : vendredi 7 juin 2024, à partir de 17h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
2883b3da-1f74-11ef-96a1-0a58a9feac02,20240610T210000,20240621T064500,20240531T193522,TRAVAUX,BLOQUANTE,Bus 173 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 173 sera déviée : les arrêts situés entre Capitaine Glarner et Mairie de Saint-Ouen - Jaurès ne seront plus desservis en direction de La Courneuve – 8 Mai 1945. Quand : à partir du lundi 10 juin 2024, jusqu'au vendredi 21 juin 2024. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
e6e890f6-1f75-11ef-98ab-0a58a9feac02,20240603T050100,20240629T034500,20240531T194751,TRAVAUX,BLOQUANTE,Bus TVM : Travaux - Arrêt(s) non desservi(s),"<p>L'arrêt Église de Créteil de la ligne TVM ne sera pas desservi en direction de La Croix de Berny <RER>. Quand : à partir du lundi 3 juin 2024, jusqu'au samedi 29 juin 2024. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
1bc7bec8-1f76-11ef-8504-0a58a9feac02,20240531T194400,20240801T034500,20240531T194920,TRAVAUX,BLOQUANTE,Bus 247 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 247 est déviée : les arrêts situés entre Ancienne Mairie et Libération ne sont plus desservis en direction de Aulnay-sous-Bois – Garonor. Reprise estimée : jeudi 1 août 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
2554ae6a-1f76-11ef-8504-0a58a9feac02,20240531T194400,20240801T034500,20240531T194936,TRAVAUX,BLOQUANTE,Bus 247 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 247 est déviée : les arrêts situés entre Libération et Ancienne Mairie ne sont plus desservis en direction de Drancy – Stade Charles Sage. Reprise estimée : jeudi 1 août 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
93bff774-1f76-11ef-bc03-0a58a9feac02,20240601T170000,20240601T194500,20240531T195241,PERTURBATION,BLOQUANTE,Bus 103 : Manifestation - Arrêt(s) non desservi(s),"<p>La ligne 103 sera déviée : les arrêts situés entre Maisons-Alfort - Alfortville RER et Joseph Franceschi ne seront plus desservis en direction de École Vétérinaire de Maisons-Alfort. Quand : samedi 1 juin 2024, de 17h00 à 19h00. Raison : manifestation.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",
a21738ea-1f77-11ef-96a1-0a58a9feac02,20240718T044500,20240726T134500,20240531T200015,PERTURBATION,BLOQUANTE,Passy : Jeux de Paris 2024 - Station fermée (sans correspondances),"<p>Du 18/07 au 26/07 jusqu'à 13:00, les accès à la station Passy seront fermés.<br>Raison : Jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",Actualité
a861821e-1f77-11ef-bc03-0a58a9feac02,20240726T213000,20240727T051500,20240531T200025,PERTURBATION,BLOQUANTE,Passy : Jeux de Paris 2024 - Station fermée (sans correspondances),"<p>Le 26/07 à partir de 21:30, les accès à la station Passy seront fermés.<br>Raison : Jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",Actualité
b9dc0906-1f77-11ef-bc03-0a58a9feac02,20240726T130000,20240726T184500,20240531T200055,PERTURBATION,BLOQUANTE,Dupleix : Jeux de Paris 2024 - Station fermée (sans correspondances),"<p>Le 26/07 de 13:00 à 18:00, les accès à la station Dupleix seront fermés.<br>Raison : Jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",Actualité
bf7398a2-1f77-11ef-8504-0a58a9feac02,20240726T213000,20240727T051500,20240531T200104,PERTURBATION,BLOQUANTE,Dupleix : Jeux de Paris 2024 - Station fermée (sans correspondances),"<p>Le 26/07 à partir de 21:30, les accès à la station Dupleix seront fermés.<br>Raison : Jeux de Paris 2024<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",Actualité
