Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags
7e267afa-fc03-11ee-9935-0a58a9feac02,20240506T063000,20240506T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240507T063000,20240507T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240508T063000,20240508T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240509T063000,20240509T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240510T063000,20240510T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240513T063000,20240513T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240514T063000,20240514T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240515T063000,20240515T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240516T063000,20240516T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240517T063000,20240517T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
