Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags
e7581a2c-1c03-11ef-98ab-0a58a9feac02,20240526T225000,20240527T025000,20240527T103416,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Meaux du 11/05 au 16/06,"<p>P&#233;riode : &#224; partir de 22h50<br><br>Dates : du samedi 11 mai au dimanche 16 juin, uniquement les week-ends<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Le dernier train PICI de Meaux vers Paris-Est est &#224; 22h20.<br>Le dernier train MICI de Paris-Est vers Meaux est &#224; 23h01.<br></p><p><br></p><p>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br></p>",Actualité
e7581a2c-1c03-11ef-98ab-0a58a9feac02,20240601T225000,20240602T025000,20240527T103416,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Meaux du 11/05 au 16/06,"<p>P&#233;riode : &#224; partir de 22h50<br><br>Dates : du samedi 11 mai au dimanche 16 juin, uniquement les week-ends<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Le dernier train PICI de Meaux vers Paris-Est est &#224; 22h20.<br>Le dernier train MICI de Paris-Est vers Meaux est &#224; 23h01.<br></p><p><br></p><p>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br></p>",Actualité
e7581a2c-1c03-11ef-98ab-0a58a9feac02,20240602T225000,20240603T025000,20240527T103416,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Meaux du 11/05 au 16/06,"<p>P&#233;riode : &#224; partir de 22h50<br><br>Dates : du samedi 11 mai au dimanche 16 juin, uniquement les week-ends<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Le dernier train PICI de Meaux vers Paris-Est est &#224; 22h20.<br>Le dernier train MICI de Paris-Est vers Meaux est &#224; 23h01.<br></p><p><br></p><p>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br></p>",Actualité
e7581a2c-1c03-11ef-98ab-0a58a9feac02,20240608T225000,20240609T025000,20240527T103416,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Meaux du 11/05 au 16/06,"<p>P&#233;riode : &#224; partir de 22h50<br><br>Dates : du samedi 11 mai au dimanche 16 juin, uniquement les week-ends<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Le dernier train PICI de Meaux vers Paris-Est est &#224; 22h20.<br>Le dernier train MICI de Paris-Est vers Meaux est &#224; 23h01.<br></p><p><br></p><p>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br></p>",Actualité
e7581a2c-1c03-11ef-98ab-0a58a9feac02,20240609T225000,20240610T025000,20240527T103416,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Meaux du 11/05 au 16/06,"<p>P&#233;riode : &#224; partir de 22h50<br><br>Dates : du samedi 11 mai au dimanche 16 juin, uniquement les week-ends<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Le dernier train PICI de Meaux vers Paris-Est est &#224; 22h20.<br>Le dernier train MICI de Paris-Est vers Meaux est &#224; 23h01.<br></p><p><br></p><p>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br></p>",Actualité
e7581a2c-1c03-11ef-98ab-0a58a9feac02,20240615T225000,20240616T025000,20240527T103416,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Meaux du 11/05 au 16/06,"<p>P&#233;riode : &#224; partir de 22h50<br><br>Dates : du samedi 11 mai au dimanche 16 juin, uniquement les week-ends<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Le dernier train PICI de Meaux vers Paris-Est est &#224; 22h20.<br>Le dernier train MICI de Paris-Est vers Meaux est &#224; 23h01.<br></p><p><br></p><p>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br></p>",Actualité
e7581a2c-1c03-11ef-98ab-0a58a9feac02,20240616T225000,20240617T025000,20240527T103416,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Meaux du 11/05 au 16/06,"<p>P&#233;riode : &#224; partir de 22h50<br><br>Dates : du samedi 11 mai au dimanche 16 juin, uniquement les week-ends<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Le dernier train PICI de Meaux vers Paris-Est est &#224; 22h20.<br>Le dernier train MICI de Paris-Est vers Meaux est &#224; 23h01.<br></p><p><br></p><p>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br></p>",Actualité
60408802-1c04-11ef-96a1-0a58a9feac02,20240506T222000,20240507T025000,20240527T103739,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Meaux du 6/05 au 14/06,"<p>P&#233;riode : &#224; partir de 22h20<br><br>Dates : du lundi 6 mai au vendredi 14 juin sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Le dernier train PICI de Meaux vers Paris-Est est &#224; 21h50.<br>Le dernier train MICI de Paris-Est vers Meaux est &#224; 22h31.<br></p><p><br></p><p>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br></p>",Actualité
60408802-1c04-11ef-96a1-0a58a9feac02,20240507T222000,20240508T025000,20240527T103739,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Meaux du 6/05 au 14/06,"<p>P&#233;riode : &#224; partir de 22h20<br><br>Dates : du lundi 6 mai au vendredi 14 juin sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Le dernier train PICI de Meaux vers Paris-Est est &#224; 21h50.<br>Le dernier train MICI de Paris-Est vers Meaux est &#224; 22h31.<br></p><p><br></p><p>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br></p>",Actualité
60408802-1c04-11ef-96a1-0a58a9feac02,20240508T222000,20240509T025000,20240527T103739,TRAVAUX,PERTURBEE,Ligne P : Paris Est - Meaux du 6/05 au 14/06,"<p>P&#233;riode : &#224; partir de 22h20<br><br>Dates : du lundi 6 mai au vendredi 14 juin sauf les week-ends<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Le dernier train PICI de Meaux vers Paris-Est est &#224; 21h50.<br>Le dernier train MICI de Paris-Est vers Meaux est &#224; 22h31.<br></p><p><br></p><p>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br></p>",Actualité
