Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags
4c31c81e-99ad-11e9-b189-005056a47b86,20190628T154000,20301231T090000,20240403T182900,INFORMATION,INFORMATION,Express 47 - Information,"<p>Pour tous déplacements dans MELUN Intra-muraux, vous devez prendre les Bus Urbain.</p><p>Les arrêts suivants de la Ligne Express 47 en direction de PROVINS sont<strong>&nbsp;uniquement réservés à la <u>montée</u></strong> :</p><p>- ZI Clémenceau / St-Just</p><p>- Place Saint Jean</p><p>- Route de Nangis</p><p>Les arrêts suivants de la Ligne Express 47 en direction de MELUN sont uniquement&nbsp;<strong>réservés à la <u>descente</u></strong>&nbsp;:<br>&nbsp;</p><p>- Victor Hugo / Porte de Paris</p><p>- Place Saint Jean</p><p>- Route de Nangis</p><p>- Bancel</p><p>- ZI Clémenceau / St-Just</p><p>&nbsp;</p>",
6902685e-e564-11eb-b0fa-005056a44da2,20210715T140000,20300101T160000,20240404T145849,INFORMATION,INFORMATION,"Réseau Saint-Quentin-en-Yvelines : Ligne 475, seules les montées sont autorisés entre ""Paris – Porte d’Orléans"" et ""Rond-Point du Petit Clamart"" en direction de Elancourt.","<p>En direction de Elancourt - Prague, les arrêts ""Paris – Porte d’Orléans"", ""Mairie de Montrouge"", ""Gabriel Péri"", ""Métro Châtillon-Montrouge"", ""Centre Châtillon"", ""Parc André Malraux"", ""Division Leclerc"", ""Pavé Blanc"", et ""Rond-Point du Petit Clamart"" sont réservés à la montée uniquement.</p><p>Ces stations sont soumises à une Interdiction de Trafic Local (ITL), ce qui signifie que les conducteurs ont le droit de prendre en charge des usagers mais pas de les faire descendre, ceci afin de ne pas faire de concurrence au réseau de transport local.</p><p>En direction de Paris - Porte d'Orléans, aucune restriction ne s'applique.</p>",
249df058-90ca-11ed-83d1-0a58a9feac02,20230110T102000,20290731T235900,20240402T181759,INFORMATION,INFORMATION,Transport à la Demande - Réservation obligatoire,"<p><strong><u>Fonctionnement du Transport à la Demande</u></strong></p><p>Le Transport à la Demande (TàD) est un service qui fonctionne uniquement sur réservation (au minimum 1 heure avant le trajet)</p><p><strong>3 possibilités pour réserver :</strong></p><p>• L’application TàD Île-de-France Mobilités sur&nbsp;<a href=""http://iOS"">iOS</a> et <a href=""http://Google Store"">Google Store</a>.</p><p>• Le site Internet&nbsp;<a href=""https://tad.idfmobilites.fr/"">https://tad.idfmobilites.fr/</a></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>• Par téléphone : 09 70 80 96 63 (prix d'un appel local), du lundi au vendredi de 9h à 18h</p><p>A bientôt sur nos lignes !</p>",
904fac0c-90ce-11ed-b015-0a58a9feac02,20230110T105000,20290731T235900,20240402T182016,INFORMATION,INFORMATION,Bus de soirée,"<p><strong><u>Fonctionnement du bus de soirée</u></strong></p><p>Le Bus de Soirée est un bus qui attend votre train le soir depuis votre gare, pour vous déposer jusqu'à l'arrêt le plus proche de chez vous.</p><p>Le service fonctionne sans réservation, il suffit d'indiquer votre arrêt de descente au conducteur.</p><p>A bientôt sur nos lignes !</p>",Actualité
b15ccfdc-675c-11ee-ba8f-0a58a9feac02,20231010T125000,20301231T235000,20240404T150741,INFORMATION,INFORMATION,Plan de Transport Adapté (PTA): Express 47,"<p>Dans le cadre du plan de transport garanti mis en œuvre à partir du 4 septembre 2023, ces départs sont susceptibles de ne pas être assurés en semaine :</p><p>=&gt; Au départ de MELUN: 7:00, 7:30, 16:00 et 18:40</p><p>=&gt; Au départ de PROVINS: 8:45, 16:50, 17:15 et 17:36</p><p>&nbsp;</p><p>Veuillez nous excusez pour la gêne occasionnée</p>",
13f74e74-675d-11ee-82ea-0a58a9feac02,20231010T130000,20301230T230000,20240404T150829,INFORMATION,INFORMATION,Plan de Transport Adapté: Express 50,"<p>Dans le cadre du plan de transport garanti mis en œuvre à partir du 4 septembre 2023, ces départs sont susceptibles de ne pas être assurés en semaine :</p><p>=&gt; Au départ de CHESSY: 7:20, 8:30, 9:30, 15:00, 16:15, 17:00, 18:00, 18:30 et 20:00</p><p>=&gt; Au départ de PROVINS: 5:00, 6:10, 7:00, 7:40, 17:00, 17:40 et 18:30</p><p>Veuillez nous excusez pour la gêne occasionnée</p>",
1eb5c0f2-902a-11ee-8fdc-0a58a9feac02,20231201T110000,20241231T235900,20240402T183304,PERTURBATION,INFORMATION,Déviation Lignes 603 et 623,"<p>En raison de travaux de déconstruction dans la ZAC du Bas Clichy à Clichy sous bois, le 30/05/2023 à partir de minuit pour une durée indéfinie.<br><br>Lignes 603 et 623 : Les arrêts Clichy-sous-Bois Mairie, Frédéric Ladrette, dans les 2 directions ne seront plus desservis.<br>Veuillez-vous reporter à l’arrêt provisoire Clichy-sous-Bois Mairie situé Allée Maurice Audin<br>L’arrêt Chêne Pointu dans les 2 directions ne sera plus desservi.<br>Veuillez-vous reporter à l’arrêt provisoire Chêne Pointu situé Avenue de l’Avenir.</p>",
d042e71e-902a-11ee-96b8-0a58a9feac02,20231201T100000,20241231T235900,20240402T183126,PERTURBATION,INFORMATION,Déplacement arrêt Gare de Chelles,<p>En raison de travaux l’arrêt Gare de Chelles Gournay est déplacé:<br><br>A partir du lundi 21 août 2023<br><br>Veuillez-vous reporter à l’arrêt provisoire<br><br>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée.</p>,Actualité
a2aff7e0-944b-11ee-b9cc-0a58a9feac02,20231206T040000,20241231T235900,20240404T151051,PERTURBATION,INFORMATION,Déplacement arrêt Lycée Bouloche,"<p>À partir du 06/12/2023, l'arrêt de départ de la ligne 644 Gutenberg/Lycée Bouloche en direction du collège Henri IV sera déplacé au 29 Boulevard Gutenberg, au niveau de l'arrêt de régulation.</p>",
efcbef70-94dc-11ee-b9cc-0a58a9feac02,20231207T095000,20240713T170000,20240402T183420,PERTURBATION,INFORMATION,MLV-Desserte du lycée Martin Luther King le samedi,"<p>En raison de la suppression des cours le samedi au lycée Martin Luther King de Bussy-Saint-Georges, des modifications ont été apportées sur les lignes 21, 26 et 27 tous les samedis à compter du 18/11/2023.<br>- Ligne 21 : le départ de l'arrêt « Mairie » à 7h20 et la course de 12h10 au départ du lycée MLK ne circuleront plus.<br>- Ligne 26 : les départs de 7h10 et 8h20 de la gare de Lagny-Thorigny auront pour terminus la gare de Bussy-Saint-Georges à 7h35 et 8h46 ; la course au départ du lycée MLK de 12h15 prendra son départ à la gare de Bussy-Saint-Georges à 12h19.<br>- Ligne 27 : les départs de 7h27 et 8h27 de la gare de Bussy-Saint-Georges auront pour terminus la gare de Bussy-Saint-Georges à 7h46 et 8h46 ; la course au départ du lycée MLK de 12h15 prendra son départ à la gare de Bussy-Saint-Georges à 12h21.</p>",
