Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags
ddbdb714-1c3b-11ef-96a1-0a58a9feac02,20240325T231500,20240326T021500,20240527T171452,TRAVAUX,PERTURBEE,RER D Paris Melun/Corbeil interruption 03/05-05/07,"<p>P&#233;riode : Au d&#233;part de Paris Gare de Lyon &#224; partir de 22h35 ainsi que 22h00 au d&#233;part de Melun et Corbeil-Essonnes.</p><p><br>Dates : Du lundi au vendredi jusqu'au 5 juillet except&#233; le 21 juin (f&#234;te de la musique).<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Melun et entre Paris Gare de Lyon et Corbeil-Essonnes.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.</p><p><br></p><p>Retrouvez toutes les informations sur le fil Twitter ( X ) de votre Ligne.<br></p><p><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>",Actualité
ddbdb714-1c3b-11ef-96a1-0a58a9feac02,20240326T231500,20240327T021500,20240527T171452,TRAVAUX,PERTURBEE,RER D Paris Melun/Corbeil interruption 03/05-05/07,"<p>P&#233;riode : Au d&#233;part de Paris Gare de Lyon &#224; partir de 22h35 ainsi que 22h00 au d&#233;part de Melun et Corbeil-Essonnes.</p><p><br>Dates : Du lundi au vendredi jusqu'au 5 juillet except&#233; le 21 juin (f&#234;te de la musique).<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Melun et entre Paris Gare de Lyon et Corbeil-Essonnes.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.</p><p><br></p><p>Retrouvez toutes les informations sur le fil Twitter ( X ) de votre Ligne.<br></p><p><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>",Actualité
ddbdb714-1c3b-11ef-96a1-0a58a9feac02,20240327T231500,20240328T021500,20240527T171452,TRAVAUX,PERTURBEE,RER D Paris Melun/Corbeil interruption 03/05-05/07,"<p>P&#233;riode : Au d&#233;part de Paris Gare de Lyon &#224; partir de 22h35 ainsi que 22h00 au d&#233;part de Melun et Corbeil-Essonnes.</p><p><br>Dates : Du lundi au vendredi jusqu'au 5 juillet except&#233; le 21 juin (f&#234;te de la musique).<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Melun et entre Paris Gare de Lyon et Corbeil-Essonnes.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.</p><p><br></p><p>Retrouvez toutes les informations sur le fil Twitter ( X ) de votre Ligne.<br></p><p><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>",Actualité
ddbdb714-1c3b-11ef-96a1-0a58a9feac02,20240328T231500,20240329T021500,20240527T171452,TRAVAUX,PERTURBEE,RER D Paris Melun/Corbeil interruption 03/05-05/07,"<p>P&#233;riode : Au d&#233;part de Paris Gare de Lyon &#224; partir de 22h35 ainsi que 22h00 au d&#233;part de Melun et Corbeil-Essonnes.</p><p><br>Dates : Du lundi au vendredi jusqu'au 5 juillet except&#233; le 21 juin (f&#234;te de la musique).<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Melun et entre Paris Gare de Lyon et Corbeil-Essonnes.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.</p><p><br></p><p>Retrouvez toutes les informations sur le fil Twitter ( X ) de votre Ligne.<br></p><p><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>",Actualité
ddbdb714-1c3b-11ef-96a1-0a58a9feac02,20240329T231500,20240330T021500,20240527T171452,TRAVAUX,PERTURBEE,RER D Paris Melun/Corbeil interruption 03/05-05/07,"<p>P&#233;riode : Au d&#233;part de Paris Gare de Lyon &#224; partir de 22h35 ainsi que 22h00 au d&#233;part de Melun et Corbeil-Essonnes.</p><p><br>Dates : Du lundi au vendredi jusqu'au 5 juillet except&#233; le 21 juin (f&#234;te de la musique).<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Melun et entre Paris Gare de Lyon et Corbeil-Essonnes.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.</p><p><br></p><p>Retrouvez toutes les informations sur le fil Twitter ( X ) de votre Ligne.<br></p><p><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>",Actualité
ddbdb714-1c3b-11ef-96a1-0a58a9feac02,20240401T231500,20240402T021500,20240527T171452,TRAVAUX,PERTURBEE,RER D Paris Melun/Corbeil interruption 03/05-05/07,"<p>P&#233;riode : Au d&#233;part de Paris Gare de Lyon &#224; partir de 22h35 ainsi que 22h00 au d&#233;part de Melun et Corbeil-Essonnes.</p><p><br>Dates : Du lundi au vendredi jusqu'au 5 juillet except&#233; le 21 juin (f&#234;te de la musique).<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Melun et entre Paris Gare de Lyon et Corbeil-Essonnes.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.</p><p><br></p><p>Retrouvez toutes les informations sur le fil Twitter ( X ) de votre Ligne.<br></p><p><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>",Actualité
ddbdb714-1c3b-11ef-96a1-0a58a9feac02,20240402T231500,20240403T021500,20240527T171452,TRAVAUX,PERTURBEE,RER D Paris Melun/Corbeil interruption 03/05-05/07,"<p>P&#233;riode : Au d&#233;part de Paris Gare de Lyon &#224; partir de 22h35 ainsi que 22h00 au d&#233;part de Melun et Corbeil-Essonnes.</p><p><br>Dates : Du lundi au vendredi jusqu'au 5 juillet except&#233; le 21 juin (f&#234;te de la musique).<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Melun et entre Paris Gare de Lyon et Corbeil-Essonnes.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.</p><p><br></p><p>Retrouvez toutes les informations sur le fil Twitter ( X ) de votre Ligne.<br></p><p><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>",Actualité
ddbdb714-1c3b-11ef-96a1-0a58a9feac02,20240403T231500,20240404T021500,20240527T171452,TRAVAUX,PERTURBEE,RER D Paris Melun/Corbeil interruption 03/05-05/07,"<p>P&#233;riode : Au d&#233;part de Paris Gare de Lyon &#224; partir de 22h35 ainsi que 22h00 au d&#233;part de Melun et Corbeil-Essonnes.</p><p><br>Dates : Du lundi au vendredi jusqu'au 5 juillet except&#233; le 21 juin (f&#234;te de la musique).<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Melun et entre Paris Gare de Lyon et Corbeil-Essonnes.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.</p><p><br></p><p>Retrouvez toutes les informations sur le fil Twitter ( X ) de votre Ligne.<br></p><p><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>",Actualité
ddbdb714-1c3b-11ef-96a1-0a58a9feac02,20240404T231500,20240405T021500,20240527T171452,TRAVAUX,PERTURBEE,RER D Paris Melun/Corbeil interruption 03/05-05/07,"<p>P&#233;riode : Au d&#233;part de Paris Gare de Lyon &#224; partir de 22h35 ainsi que 22h00 au d&#233;part de Melun et Corbeil-Essonnes.</p><p><br>Dates : Du lundi au vendredi jusqu'au 5 juillet except&#233; le 21 juin (f&#234;te de la musique).<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Melun et entre Paris Gare de Lyon et Corbeil-Essonnes.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.</p><p><br></p><p>Retrouvez toutes les informations sur le fil Twitter ( X ) de votre Ligne.<br></p><p><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>",Actualité
ddbdb714-1c3b-11ef-96a1-0a58a9feac02,20240405T231500,20240406T021500,20240527T171452,TRAVAUX,PERTURBEE,RER D Paris Melun/Corbeil interruption 03/05-05/07,"<p>P&#233;riode : Au d&#233;part de Paris Gare de Lyon &#224; partir de 22h35 ainsi que 22h00 au d&#233;part de Melun et Corbeil-Essonnes.</p><p><br>Dates : Du lundi au vendredi jusqu'au 5 juillet except&#233; le 21 juin (f&#234;te de la musique).<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Melun et entre Paris Gare de Lyon et Corbeil-Essonnes.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.</p><p><br></p><p>Retrouvez toutes les informations sur le fil Twitter ( X ) de votre Ligne.<br></p><p><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>",Actualité
